Label	Name	Author List	Title	Abstract	Keywords	Venue	Download links	Publish Year
11	Ajay Gupta	daryl allred;yossi lichtenstein;chris preist;michael a. bennett	AGATHA: An Integrated Expert System to Test and Diagnose Complex Personal Computer Boards		Personal Computer;Expert System;	Innovative Applications of Artificial Intelligence	http://www.informatik.uni-trier.de/~ley/db/conf/iaai/iaai1991.html#AllredLPBG91,https://www.aaai.org/Papers/IAAI/1991/IAAI91-007.pdf	1991
11	Ajay Gupta	krishnan ramanathan;yogesh sankarasubramaniam;nidhi mathur	Document Summarization using Wikipedia		Document Summarization;		http://www.informatik.uni-trier.de/~ley/db/conf/ihci/ihci2009.html#RamanathanSMG09,http://dx.doi.org/10.1007/978-81-8489-203-1_25	2009
11	Ajay Gupta		Hardware Diagnosis as Program Debugging	Horn clauses provide a useful framework for writing executable structural representations for digital circuits. This paper discusses how these representations can be used to diagnose faulty circuits using algorithmic program debugging techniques developed by Shapiro. The sound theoretical basis of these techniques is one of the major advantages of this approach. This framework also provides a new perspective on some	Digital Circuits;Program Debugging;	International Joint Conference on Artificial Intelligence	http://dli.iiit.ac.in/ijcai/IJCAI-87-VOL1/PDF/104.pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.97.9016&rep=rep1&type=pdf,http://ijcai.org/Past%20Proceedings/IJCAI-87-VOL1/PDF/104.pdf,http://www.informatik.uni-trier.de/~ley/db/conf/ijcai/ijcai87.html#Gupta87	1987
11	Ajay Gupta	somnath banerjee;krishnan ramanathan	Clustering short texts using wikipedia	Subscribers to the popular news or blog feeds (RSS/Atom) often face the problem of information overload as these feed sources usually deliver large number of items periodically. One solution to this problem could be clustering similar items in the feed reader to make the information more manageable for a user. Clustering items at the feed reader end is a challenging	Information Overload;Bag of Words;	Research and Development in Information Retrieval	http://doi.acm.org/10.1145/1277741.1277909,http://www.informatik.uni-trier.de/~ley/db/conf/sigir/sigir2007.html#BanerjeeRG07,http://www.hpl.hp.com/india/documents/papers/clusteringshorttexts.pdf,http://portal.acm.org/ft_gateway.cfm?id=1277909&type=pdf&CFID=29576336&CFTOKEN=51534192,http://portal.acm.org/citation.cfm?id=1277909	2007
11	Ajay Gupta	parthasarathy ranganathan;prashant sarin;mehul a. shah	IT Infrastructure in Emerging Markets: Arguing for an End-to-End Perspective		Emerging Market;	IEEE Pervasive Computing	http://doi.ieeecomputersociety.org/10.1109/MPRV.2006.35,http://www.informatik.uni-trier.de/~ley/db/journals/pervasive/pervasive5.html#GuptaRSS06,http://www.hpl.hp.com/personal/Partha_Ranganathan/papers/2006/2006_ieee_emergingeconomies.pdf,http://www.hpl.hp.com/personal/Mehul_Shah/papers/IEEEPervasive_Apr_2006_gupta.pdf	2006
12	Ajay Gupta	wolfgang maass	Efficient Design of Boltzmann Machines		boltzmann machine;	Neural Information Processing Systems	http://nips.djvuzone.org/djvu/nips03/0825.djvu,http://www.informatik.uni-trier.de/~ley/db/conf/nips/nips1990.html#GuptaM90	1990
13	Ajay K. Gupta	daniel c. duvarney	Using Predators to Combat Worms and Viruses: A Simulation-Based Study	Large-scale attacks generated by fast-spreading or stealthy malicious mobile code, such as ash worms and e-mail viruses, demand new approaches to patch management and disinfection. Currently popular centralized approaches suf- fer from distribution bottlenecks which cannot be solved by merely increasing the number of servers, as the number of servers required to eliminate all bottlenecks is imprac- tically large. Recently,	Large Scale;Mobile Code;Network Congestion;Simulation Tool;	Annual Computer Security Applications Conference	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.97.3979&rep=rep1&type=pdf,http://www.informatik.uni-trier.de/~ley/db/conf/acsac/acsac2004.html#GuptaD04,https://www.acsac.org/2004/papers/105.pdf,http://doi.ieeecomputersociety.org/10.1109/CSAC.2004.47,http://www.seclab.cs.sunysb.edu/seclab/pubs/acsac04.pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.59.9613&rep=rep1&type=pdf,http://seclab.cs.sunysb.edu/seclab1/pubs/acsac04.pdf,http://www.acsac.org/2004/papers/105.pdf	2004
13	Ajay K. Gupta	r. sekar;j. frullo;t. shanbhag;a. tiwari;h. yang;s. zhou	Specification-based anomaly detection: a new approach for detecting network intrusions	Unlike signature or misuse based intrusion detection techniques, anomaly detection is capable of detecting novel attacks. However, the use of anomaly detection in practice is hampered by a high rate of false alarms. Specification-based techniques have been shown to produce a low rate of false alarms, but are not as effective as anomaly detection in detecting novel attacks, especially when	Anomaly Detection;Denial of Service Attack;Feature Selection;Intrusion Detection;Machine Learning;Network Monitoring;Network Protocol;Protocol Specification;Sampling Technique;Specification Language;State Machine;	Computer and Communications Security	http://cs.fit.edu/~pkc/id/related/sekar-ccs02.pdf,http://citeseer.ist.psu.edu/cache/papers/cs/31180/http:zSzzSzseclab.cs.sunysb.eduzSzsekarzSzpaperszSzccs02.ps.gz/sekar02specificationbased.ps.gz,http://portal.acm.org/citation.cfm?id=586110.586146,http://seclab.cs.sunysb.edu/seclab1/pubs/ccs02.pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.5.5141&rep=rep1&type=pdf,http://doi.acm.org/10.1145/586110.586146,http://citeseer.ist.psu.edu/compress/0/papers/cs/31180/http:zSzzSzseclab.cs.sunysb.eduzSzsekarzSzpaperszSzccs02.ps.gz/sekar02specificationbased.ps,http://www.informatik.uni-trier.de/~ley/db/conf/ccs/ccs2002.html#SekarGFSTYZ02,http://www.seclab.cs.sunysb.edu/seclab/pubs/ccs02.pdf,http://www.it.iitb.ac.in/~deepak/deepak/courses/seminar/sekar02specificationbased.pdf,http://www.cs.unc.edu/~jeffay/courses/nidsS05/specification/sekar-spec-based-02.pdf,http://portal.acm.org/citation.cfm?id=586146,http://portal.acm.org/ft_gateway.cfm?id=586146&type=pdf&CFID=29576336&CFTOKEN=51534192	2002
13	Ajay K. Gupta	prem uppuluri	Resource Usage Policy Specification for Managing Application Resources			International Conference on Information Technology: New Generations	http://www.informatik.uni-trier.de/~ley/db/conf/itng/itng2008.html#UppuluriG08,http://doi.ieeecomputersociety.org/10.1109/ITNG.2008.201	2008
13	Ajay K. Gupta	r. sekar	An Approach for Detecting Self-propagating Email Using Anomaly Detection	This paper develops a new approach for detecting self-propagating email viruses based on statistical anomaly detection. Our approach assumes that a key objective of an email virus attack is to eventually overwhelm mail servers and clients with a large volume of email traffic. Based on this assumption, the approach is designed to detect increases in traffic volume over what was	Anomaly Detection;	Recent Advances in Intrusion Detection	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.77.2238&rep=rep1&type=pdf,http://www.informatik.uni-trier.de/~ley/db/conf/raid/raid2003.html#GuptaS03,http://citeseer.ist.psu.edu/cache/papers/cs2/105/http:zSzzSzseclab.cs.sunysb.eduzSzseclabzSzpubszSzpaperszSzraid03.pdf/gupta03approach.pdf,http://citeseer.ist.psu.edu/cache/papers/cs2/105/http:zSzzSzseclab.cs.sunysb.eduzSzseclabzSzpubszSzpaperszSzraid03.ps.gz/gupta03approach.ps.gz,http://seclab.cs.sunysb.edu/seclab1/pubs/raid03.pdf,http://www.itsec.gov.cn/docs/20090507140503245815.pdf,http://springerlink.metapress.com/openurl.asp?genre=article&issn=0302-9743&volume=2820&spage=55,http://citeseer.ist.psu.edu/compress/0/papers/cs2/105/http:zSzzSzseclab.cs.sunysb.eduzSzseclabzSzpubszSzpaperszSzraid03.ps.gz/gupta03approach.ps,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.6.2370&rep=rep1&type=pdf	2003
14	Ajay K. Gupta	kurt maly;c. michael overstreet;hussein m. abdel-wahab;muthu kumar;rahul srivastava	Performance trade-offs for a multimedia distributed application		Distributed Application;	High Performance Networking		1995
14	Ajay K. Gupta	kurt maly;irwin b. levinstein;ravi mukkamala;bjorn kvande;s. nanjangud;margrethe h. olson;roy whitney;rita chambers	PMES: privilege mangagement and enforcement system for secure distributed resource sharing		Resource Sharing;	World Computer Congress	http://www.informatik.uni-trier.de/~ley/db/conf/ifip/ifip1996-1.html#MalyGLMKNOWC96	1996
14	Ajay K. Gupta	kurt maly;hussein m. abdel-wahab;ravi mukkamala;mohamed kholief;s. dittakavi;c. s. vemuru;h. syed	CoProcess: A Java-based Environment for Collaborative Process Management Over the Web	 CoProcess is a Java-based environment to facilitate collaborative process management overthe World-wide Web (WWW). It can support a wide variety of applications that may involvefilling forms, sending e-mail, searching a database (or web) for information, establishing a teleconferencewithin a group, collaborative writing, reviewing, and editing of documents, and othervideo and audio record/playback facilities. In this paper, we describe the CoProcess	Collaborative Writing;Process Management;World Wide Web;	World Conference on the WWW and Internet		1997
14	Ajay K. Gupta	hussein m. abdel-wahab;kurt maly;alaa youssef;emilia stoica;c. michael overstreet;j. christian wild	The software architecture and interprocess communications of IRI: an Internet-based interactive distance learning system	 This paper discusses the software architecture, interprocesscommunication and the reference implementationof IRI, an Interactive Remote Instruction systemfor distance learning. IRI is an Internet-based systemwhich integrates continuous multimedia, shared applicationsand a variety of multi-user collaborative utilities.Internet multicasting is used by IRI for groupmanagement and data sharing; UDP-multicasting isused for audio and video streams while reliable multicastingprotocol (RMP) is ...	Data Sharing;Distance Learning;interprocess communication;Software Architecture;Video Streaming;Multi User;	Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises		1996
14	Ajay K. Gupta	kurt maly;bjorn kvande;irwin b. levinstein;ravi mukkamala;s. nanjangud;margrethe h. olson;roy whitney;rita chambers	A privilege management and enforcement system for distributed resource sharing		Resource Sharing;	Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises	http://www.informatik.uni-trier.de/~ley/db/conf/wetice/wetice1996.html#MalyGKLMNOWC96,http://computer.org/proceedings/wet-ice/7445/74450106abs.htm	1996
14	Ajay K. Gupta	kurt maly;hussein m. abdel-wahab;ravi mukkamala;a. prabhu;h. syed;c. s. vemuru	Mosaic + XTV = CoReview			Computer Networks and Isdn Systems	http://linkinghub.elsevier.com/retrieve/pii/0169755295000208,http://www.informatik.uni-trier.de/~ley/db/journals/cn/cn27.html#KalyAMGPSV95,http://dx.doi.org/10.1016/0169-7552(95)00020-8	1995
14	Ajay K. Gupta	kurt maly;satish mynam	BTU: A Host Communication Benchmark	 In this paper we propose a communication benchmark suite: BTU(Bits To the User). In the BTUbenchmarking process, the vendor supplies a workstation running a UNIX2operating system, we installour benchmark program and connect the workstation to a testbed, consisting of blackboxes, which emulatesa LAN/WAN environment. The benchmark run will submit the workstation to a carefully designed combinationof tests. The result is		IEEE Computer	http://citeseer.ist.psu.edu/cache/papers/cs/14280/http:zSzzSzwww.cs.odu.eduzSz%7EbtuzSzpaperszSzTechReport96.ps.gz/btu-a-host-communication.ps.gz	1998
14	Ajay K. Gupta	kurt maly;hussein m. abdel-wahab;c. michael overstreet;j. christian wild;alaa youssef;emilia stoica;ehab s. al-shaer	Interactive Distance Learning over Intranets	 this article we describe IRI and the lessons learned deploying it. We first deployed IRI to teacha fall 1995 graduate course in software metrics. We then evaluated it in terms of logistics, reliability,performance, and usability, performing off-line experiments to try out new features and to developprotocols that would improve IRI use. We subsequently reengineered IRI into an open architecturewith a	Distance Learning;Lessons Learned;Software Metric;	IEEE Internet Computing	http://citeseer.ist.psu.edu/compress/0/papers/cs/8763/http:zSzzSzwww.cs.odu.eduzSz~telezSzirizSzpaperszSzWEBzSzieee_internetzSzmaly.ps.gz/maly97interactive.ps,http://citeseer.ist.psu.edu/cache/papers/cs/8763/http:zSzzSzwww.cs.odu.eduzSz%7EtelezSzirizSzpaperszSzWEBzSzieee_internetzSzmaly.pdf/maly97interactive.pdf,http://www.informatik.uni-trier.de/~ley/db/journals/internet/internet1.html#MalyAOWGYSA97,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=585174,http://citeseer.ist.psu.edu/cache/papers/cs/8763/http:zSzzSzwww.cs.odu.eduzSz%7EtelezSzirizSzpaperszSzWEBzSzieee_internetzSzmaly.ps.gz/maly97interactive.ps.gz	1997
14	Ajay K. Gupta	kurt maly;hussein m. abdel-wahab;j. christian wild;c. michael overstreet;ayman adel abdel hamid;sahar m. ghanem;agustin gonzález;xiaoqing zhu	IRI-h, a Java-based distance education system		Distance Education;	ACM Transactions on Computing Education / ACM Journal of Educational Resources in Computing	http://portal.acm.org/ft_gateway.cfm?id=376703&type=pdf	2001
